Period,Company Name,company contact,company email,company phone,Address,City,State,Postcode,Industry,Industry descr,Company Type,Current fulltime,Job created,Job retain,Effective Date,Total Savings,Savings from beginning receiving benefits,Gas Savings,Cogen savings,Electric Savings,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
FY2019,"Asymptote Architecture, PLLC",Lise Anne Couture,admin@asymptote.net,2123437333,1145-46 AVE,Queens,NY,11101,Manufacturing,Architectural design,Relocator,57,,,04/08/2009,"6,697.92","101,576.08",,,,,,,,,,,,
FY2019,ATLANTIS SEAFOOD WHOLESALE,STEPHEN HON,stephenhon@aol.com,7186288080,8-10 WYCKOFF AVENUE,Brooklyn,NY,11237,Wholesale/Warehouse/Distribution,WHOLESALE/DIST.,ICIP,5,7,5,03/02/2007,"2,534.49","69,590.55",,,,BROOKLYN,40.706817,-73.923268,304,34,3072397,3031760038,447,BK0401
FY2019,"AVI-SPL, Inc.",Michael Diodato,michael.diodato@avispl.com,7188064040,10-40  45th Avenue 1st Floor,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,,Tenant,102,,,12/07/2011,"7,877.65","49,998.08",,,,QUEENS,40.748053,-73.951224,402,26,4000411,4000500017,702,QN0201
FY2019,B. Thayer Associates,Barbara  Thayer,bthayer@bthayerassociates.com,7189423320,37-18 Northern Blvd,Long Island City,NY,11101,Other,,Relocator,4,,,01/02/2015,389,"5,052.65",,,,QUEENS,40.752096,-73.925887,401,26,4003103,4002140040,17102,QN0161
FY2019,B.C.S. International Corporation,Dae Hyun  Yoo,david@bcsroyal.com,7183923355,47-15 33rd St,Queens,NY,11101,Wholesale/Warehouse/Distribution,Groceries,IDA,12,,,12/06/2007,"18,324.06","312,681.95",,,,QUEENS,40.742197,-73.932167,402,26,4311535,4002510015,19901,QN0202
FY2019,B.P. AIR CONDITIONING CORP/,Bill  Chrietzberg,bchrietzberg@bpair.com,2127320606,84-00 73RD ST.,QUEENS,NY,11385,Commercial,distributor HVAC systems,IDA,112,,,04/21/2009,"15,808.47","235,956.45",,,,,,,,,,,,
FY2019,BACK TO AFRICA CORP.,EZRA DEBBAH,edebbah@aol.com,7184925100,"140 58TH STREET, UNIT 6M BLDG. A",Brooklyn,NY,11220,Manufacturing,MANUFACTURE,Relocator,4,,4,07/03/2007,"1,170.11","18,812.62",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,BALDOR SPECIALTY FOOD,Eileen Manitsas,eileen@baldorfood.com,7183044507,155 Food Center Drive,Bronx,NY,10474,Wholesale/Warehouse/Distribution,DST OF FRUITS & VEGGIES,City/State,579,,,12/03/2008,"162,641.16","1,609,390.54",,,,BRONX,40.809733,-73.872648,202,17,2101319,2027810500,11702,BX0201
FY2019,"BANNER SMOKED FISH, INC.",Alan  Levitz,alanlevitz@gmail.com,7184491400,2715 WEST 15TH STREET,Brooklyn,NY,11224,Manufacturing,PROCESSOR FISH PRODUCTS,ICIP,41,,,12/28/2010,"45,039.82","359,934.96",,,,BROOKLYN,40.581105,-73.983443,313,47,3329317,3069970042,348,BK1302
FY2019,"BARK FRAMEWORKS, INC.",Jared  Bark,jbark@barkframeworks.com,7187521919,21-24 44TH AVENUE,Queens,NY,11101,Manufacturing,MFG. (WOOD PRODUCTS),IDA,53,,,06/08/2015,"12,539.3","55,300.8",,,,QUEENS,40.74942,-73.946282,402,26,4005191,4004390027,1903,QN0201
FY2019,BARKER BROTHERS,Kenneth Doyle,barkerbrothers@aol.com,7184566400,1656-1662 SUMMERFIELD STREET,Queens,NY,11385,Manufacturing,MANUFACTURE,ICIP,51,,202,06/28/2006,"1,182.71","146,966.71",,,,QUEENS,40.695815,-73.901399,405,34,4437809,4035550038,559,QN0502
FY2019,"BARONE STEEL FABRICATORS, INC.",NICK BARONE,nbarone@baronesteel.com,7188324705,128 44th Street,BROOKLYN,NY,11232,Manufacturing,Fabricator and erector of structural steel,IDA,57,,,02/12/2008,"12,288.86","164,637.52",,,,BROOKLYN,40.65331,-74.014866,307,38,3320138,3007350050,1803,BK0702
FY2019,Belmont Metals,Jeffrey Behrendt,jbehrendt@belomtmetals.com,7183424900,330 Belmont Avenue,Brooklyn,NY,11207,Manufacturing,,ICIP,85,,,10/20/2008,"63,854","811,913.57",,,,BROOKLYN,40.670294,-73.897731,305,42,3326970,3037520002,1156,BK0502
FY2019,"BENSON MILLS, INC.",GABE LEVY,gabe@bensonmills.com,7185321401,140 58TH ST. BLDG. A UNIT 7J,Brooklyn,NY,11220,Manufacturing,MANUFACTURING,Tenant,15,,,10/02/2009,"3,166.27","30,059.76",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,Bermuda Motor Car Renting Co.,Robert A. Verdi,peter@bermudalimo.com,2122432591,21-30 44th Road,Long Island City,NY,11101,Commercial,,Relocator,90,,,06/08/2012,"4,368.43","34,516.49",,,,QUEENS,40.748624,-73.945972,402,26,4005184,4004380026,1903,QN0201
FY2019,"BEST CASE & ACCESSORIES, INC.",MURRAY DANA,MDANA@BESTCASECELLULAR.COM,8003468746,140 58TH STREET,Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,DISB. CELLULAR PHONES,Tenant,20,,,05/15/2015,"6,598.65","23,838.4",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,Best Choice Trading Corp,Lee Fung Fong,bestchoiceseafood@yahoo.com,7183662999,146 Stewart Avenue,Brooklyn,NY,11237,Wholesale/Warehouse/Distribution,,IDA,24,,,03/09/2010,"26,645.61","274,610.56",,,,BROOKLYN,40.711043,-73.926734,301,34,3258604,3029640044,44902,BK0104
FY2019,Best Mounting Corp.,Amir Rotlevi,anrotlevi@bestmounting.com,9178423783,130-11 Atlantic Avenue,Jamaica,NY,11418,Manufacturing,Mfg. of switchgears,IDA,3,,,09/28/2010,"7,611.29","40,449.9",,,,QUEENS,40.695926,-73.818689,409,29,4196970,4093750285,14202,QN0902
FY2019,"Bestec Concept, Inc.",Peter Kim,maxivision@msn.com,7189375848,"140 58th Street, Bldg B #8D",Brookln,NY,11220,Manufacturing,Dress uniforms,City/State,140,,,09/01/2016,"19,243.06","56,272.82",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,Bettertex,Isaac Douek,astange@gamlaphoto.com,2129473790,"140 58th Street, Bldg. B unit 5I",Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,Warehouse/Electronic,Tenant,8,,,07/03/2013,"4,025.32","19,484.35",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,CALEB HALEY & CO.,ROBBY DEVINCENZI,,7186177474,800 FOOD CENTER DRIVE,Bronx,NY,10474,Wholesale/Warehouse/Distribution,DIST. VARIOUS SEAFOODS,Tenant,40,,40,03/07/2006,"2,111.11","111,341.38",,,,BRONX,40.805255,-73.876414,202,17,2088215,2027800073,9302,BX0201
FY2019,BEYER LIGHTNING FISH COMPANY,MARK RUDES,info@afish.com,7188606323,"800 FOOD CENTER DRIVE, 117,119,121",Bronx,NY,10474,Wholesale/Warehouse/Distribution,DIST. VARIOUS FISH,Tenant,13,,13,03/07/2006,"1,210.23","60,975.85",,,,BRONX,40.805255,-73.876414,202,17,2088215,2027800073,9302,BX0201
FY2019,Bigheavy Studios,Andrew Barnes,andrew@bigheavystudios.com,3472953222,1102 Atlantic Avenue,Brooklyn,NY,11238,Manufacturing,Manufacturer of visual displays for store windows,Tenant,8,,,03/15/2016,607.87,"2,095.61",,,,BROOKLYN,40.679518,-73.956819,308,35,3027572,3011260029,305,BK0802
FY2019,BILLIE-ANN PLASTICS PKGING CORP,Bill  Rubinstein,billieannplastics.com,7184975555,360 AND 372 TROUTMAN STREET,Brooklyn,NY,11237,Manufacturing,Plastic moldings,ICIP,21,,,09/28/2007,"4,054.03","101,242.32",,,,,,,,,,,,
FY2019,BIMMY''''''''S LLC,ELLIOT FREAD,elliot@bimmys.com,7183613144,47-00 33rd Street,Long Island City,NY,11101,Manufacturing,MANUFACTURER,Relocator,23,15,23,12/06/2006,"10,394.68","157,608.11",,,,QUEENS,40.742386,-73.932148,402,26,4003447,4002520018,19901,QN0202
FY2019,BIMMY''''''''S LLC,ELLIOT FREAD,elliot@bimmys.com,7183613144,47-00 33rd Street,Long Island City,NY,11101,Manufacturing,MANUFACTURER,Tenant,192,,,03/09/2017,"11,385.42","26,488.91",,,,QUEENS,40.742386,-73.932148,402,26,4003447,4002520018,19901,QN0202
FY2019,"Birns Telecommunication, Inc.",Sol Birnbaum,,2123257304,925-931 McDonald Avenue,Brooklyn,NY,11218,Commercial,Telecommunication system,ICIP,36,,,12/07/2011,"13,124.06","94,827.79",,,,BROOKLYN,40.631548,-73.977306,314,40,3127550,3054080059,478,BK1202
FY2019,"Bjork Carle Woodworking, Inc.",Deirdre   Jones Bjork,bjorkcarle@earthlink.net,7184842347,"1102 Atlantic Avenue, Unit 1A",Brooklyn,NY,11238,Manufacturing,cabinetry and architectural milwork,Tenant,6,,,04/25/2016,"5,252.87","16,172.08",,,,BROOKLYN,40.679518,-73.956819,308,35,3027572,3011260029,305,BK0802
FY2019,BLIND BUILDERS USA INC.,ERIC ROSENBERG,,7182588102,"140 58TH STREET, BLDG. A UNIT 7M",Brooklyn,NY,11220,Manufacturing,MANUFACTURER,Tenant,10,,10,08/31/2006,57.76,"23,372.6",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,BLUE RIBBON FISH CO.,ARMANDO RODAS,blueribbonfish@verizon.net,7186208580,800 FOOD CENTER DRIVE UNIT 67,Bronx,NY,10474,Wholesale/Warehouse/Distribution,DIST. VARIOUS FISH,Tenant,35,,11,03/07/2006,"2,262.35","105,792.19",,,,BRONX,40.805255,-73.876414,202,17,2088215,2027800073,9302,BX0201
FY2019,"Blumberg Excelsior, Inc.",Robert Blumberg,RB@blumb.com,2124315000,16 Court Street,Brooklyn,NY,11241,Manufacturing,"Print & distribute legal form, supplies, form LLCs, etc",Relocator,48,,,07/08/2013,"10,361.88","57,787.75",,,,BROOKLYN,40.693445,-73.990577,302,33,3002108,3002500044,9,BK0201
FY2019,"Bo Bo Poultry Market, Inc.",Anita Lee,bobopoultry@gmail.com,7184170016,1311 Grand Street,Brooklyn,NY,11211,Manufacturing,Manufacture of poultry products and poultry processing plant,ICAP,32,,,02/01/2013,"25,486.51","156,011.83",,,,BROOKLYN,40.715927,-73.924917,301,34,,,44902,BK0104
FY2019,"BoyceTechnologies, Inc.",Charles Boyce,nmenon@boycetech.com,718685252,47-22 Pearson Place,Long Island City,NY,11101,Manufacturing,Life Saving Communication Devices,Relocator,73,,,03/09/2017,"60,277.74","135,464.12",,,,QUEENS,40.742724,-73.942538,402,26,4000743,4000990010,104,QN0201
FY2019,"BRAGARD, INC.",BENJAMIN BRAGARD,BENJAMIN@BRAGARDUSA.COM,7184837720,30-00 47TH AVENUE,Queens,NY,11101,Wholesale/Warehouse/Distribution,EMBROIDERER OF UNIF,Relocator,16,,16,05/05/2006,531,"44,992.63",,,,QUEENS,40.743281,-73.937514,402,26,4436702,4002830022,19902,QN0202
FY2019,"B-Reel Creative Agency, Inc.",Charles Ma,charles.ma@b-reel.com,2129666186,77 Sands St,Brooklyn,NY,11201,Commercial,marketing and advertising agency,Relocator,51,,,07/06/2017,"1,221.57","1,221.57",,,,BROOKLYN,40.700092,-73.987529,302,33,3000171,3000770001,13,BK0202
FY2019,"Breuckelen Distilling Co., Inc.",Bradford Estabrooke,info@brkdistilling.com,3477254985,"75-77 19th St, 1A First Floor",Brooklyn,NY,11232,Manufacturing,Distiller of Spirits,Tenant,1,,,03/16/2010,"1,616.54","25,885.35",,,,BROOKLYN,40.665937,-73.997971,307,38,3336793,3006320004,1801,BK0702
FY2019,"Bronx Westchester Tempering, Inc",Myles Kehoe,myleskehoe@bwtglass.com,2017414848,160 South MacQuesten Pkwy,Mt. Vernon,NY,10550,Manufacturing,glass and tempering,ICIP,15,,,09/29/2009,"33,417.25","364,147.6",,,,,,,,,,,,
FY2019,Brooklyn Immuno Therapeutics LLC,Cheryl Rau,crau@brooklynitx.com,2125821199,"140 58th Street, Building A, Suite 2100",Brooklyn,NY,11220,Manufacturing,Drugs to fight cancer and other viral diseases,Tenant,8,,,11/14/2016,"5,371.82","9,676.18",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,Brooklyn Nets,Jeffrey Gewirtz,jgewitrtzbrooklynnets.com,7189429544,146-168 39th Street,Brooklyn,NY,11216,Commercial,Administrative Back office,Relocator,62,,,06/13/2016,"80,922.82","170,745.69",,,,BROOKLYN,40.655973,-74.01167,307,38,,,1802,BK0702
FY2019,BROOKLYN UNION GAS COMPANY,ROBERT BEDNARZ,robert.bednarz@us.ngrid.com,7184032727,Keyspan Energy Delivery,Brooklyn,NY,11236,Commercial,ADMINISTRATIVE OFFICE,ICIP,515,,515,05/12/2006,"136,551.09","3,788,991.12",,,,,,,,,,,,
FY2019,Brooklyn Wholesale Bakery LLC,Seth Zalkin,zalkin@brooklynbrands.com,2126331399,828 East 144th Street,Bronx,NY,10454,Wholesale/Warehouse/Distribution,Commercial bakery,Tenant,252,,,02/08/2018,"13,843.46","18,247.15",,,,BRONX,40.808975,-73.907159,201,8,2097197,2025990035,31,BX0101
FY2019,"BROOKLYNPHONO, LLC",FERN BERNICH,fern@brooklynphono.com,7187885777,270 42ND STREET,Brooklyn,NY,11232,Manufacturing,MANUFACTURER,Tenant,2,6,4,02/23/2007,"3,627.1","84,391.07",,,,BROOKLYN,40.652712,-74.010851,307,38,3378228,3007220032,2,BK0702
FY2019,Brunetti & Brunetti LLC,Cheryl Brunetti,,2129513501,40 Rector Street,NY,NY,10006,Commercial,,LMEP,123,,,01/02/2013,"9,955.63","24,143.29",,,,MANHATTAN,40.708359,-74.014817,101,1,1088750,1000557501,13,MN0101
FY2019,"Burden, LLC",Janathan Burden,info@jonathanburden.com,2129418247,47-20 33rd Street,Long Island City,NY,11101,Manufacturing,Manufacture and refurbisher of furniture,Relocator,6,,,12/07/2016,666.2,"1,465.67",,,,QUEENS,40.742122,-73.932203,402,26,4003447,4002520018,19901,QN0202
FY2019,"C. KENNETH IMPORTS, INC.",KANG JUNG,cki.accounting@ckennethimports.com,7183788400,250 COSTER STREET,Bronx,NY,10474,Wholesale/Warehouse/Distribution,IMPORTER/WHOLESALE DIST.,ICIP,31,5,31,03/06/2007,"8,201.18","219,052.14",,,,BRONX,40.805769,-73.88514,202,17,2007012,2027770196,9302,BX0201
FY2019,"CALYPSO ST. BARTH, INC.",Jennifer Foyle,info@calypsostbarth.com,2122198900,33-01 SKILLMAN AVENUE,LONG ISLAND CITY,NY,11101,Wholesale/Warehouse/Distribution,WAREHOUSE,ICIP,83,30,249,02/06/2007,"3,893.53","160,514.61",,,,QUEENS,40.746741,-73.93113,402,26,,,17101,QN0261
FY2019,"CAMEO METAL PRODUCTS, INC.",Vito DiMaio,vito@cameometal.com,7187881106,127 12TH STREET,BROOKLYN,NY,11215,Manufacturing,"Mfg and finisher of metal components for the cosmetic, fragrance and beverage industries",ICIP,32,,,02/11/2008,"14,567.68","274,478.95",,,,BROOKLYN,40.670218,-73.993677,306,38,3022774,3010200052,117,BK0601
FY2019,CANDID LITHO PRINTING LTD.,FRAN WATLER,fw@candidlitho.com,2124313800,25-11 HUNTERS POINT AVENUE,Queens,NY,11101,Manufacturing,COMMERCIAL,IDA,99,,198,04/06/2007,"11,405.08","665,010.22",,,,QUEENS,40.74153,-73.944033,402,26,4000746,4001000012,104,QN0201
FY2019,"Caples Jefferson Architects, PC",Sara  Caples,sarac@capjeff.com,2127799772,37-18 Northern Blvd.,Queens,NY,11101,Commercial,"architectural services, bldg design",Relocator,6,,,10/30/2011,802.78,"4,791.94",,,,QUEENS,40.752096,-73.925887,401,26,4003103,4002140040,17102,QN0161
FY2019,"CARNEGIE LINEN SERVICES, INC.",ERIC SCHWEITZER,ericschweitzer@carnegielinen.com,7184022499,874 EAST 139TH STREET,Bronx,NY,10454,Commercial,COMMERCIAL,ICIP,20,15,60,11/06/2006,"60,516.95","1,351,616.34",,,,BRONX,40.803371,-73.907629,201,8,2004038,2025980001,1903,BX0101
FY2019,CASCON CHEESECAKE CORP.,ANDREW GIOE,CASCONBAKERY1@AOL.COM,7187675700,7-02/30 149TH STREET,Whitestone,NY,11357,Manufacturing,MANUFACTURER,ICIP,7,15,35,05/03/2007,"3,164.92","86,914.14",,,,,,,,,,,,
FY2019,"CAVCO ROOFING, INC.",Robert Cavallino,rob@cavcoroofing.com,7182652551,338 37TH STREET,Brooklyn,NY,11232,Wholesale/Warehouse/Distribution,roof fabricator & contractor,ICIP,8,,,06/12/2009,379.49,"4,047.17",,,,BROOKLYN,40.654403,-74.006109,307,38,3000000,3007000019,84,BK0702
FY2019,Center For Automotive Education and Training,Mark Schienberg,mark@gnyada.com,7187465900,139-10 15TH AVENUE AKA 15-30,Queens,NY,11357,Commercial,SERVICE,ICIP,7,30,14,10/30/2006,"6,986.85","203,456.67",,,,QUEENS,40.784639,-73.828927,407,19,4564828,4041250001,945,QN0701
FY2019,CENTRE INTERIORS WOODWORKING CO.,ALEX LEE,centre.interiors@verizon.net,7183231343,100-01 103RD AVENUE,Queens,NY,11417,Manufacturing,MANUFACTURER,ICIP,12,,12,09/25/2006,"2,741.34","156,364.46",,,,QUEENS,40.683385,-73.841114,409,29,,,112,QN0904
FY2019,"CHARLES J. KING, INC.",WAYNE KING,wdking@att.net,7184971950,1301 GRAND STREET,Brooklyn,NY,11211,Wholesale/Warehouse/Distribution,WHOLESALER,ICIP,9,,18,03/07/2007,"4,051.66","138,537.47",,,,BROOKLYN,40.71587,-73.925141,301,34,3070510,3029300120,44902,BK0104
FY2019,"Charles R.Gracie & Sons, Inc.",Michael Gracie,mike.gracie@graciestudio.com,2129246816,47-25 34th Street,Long Island City,NY,11101,Manufacturing,,Relocator,14,,,05/07/2013,"1,351.51","10,658.76",,,,QUEENS,40.741954,-73.931265,402,26,4003445,4002500001,19901,QN0202
FY2019,"Chase Bank, N.A.",Edward P Rooney,edward.p.rooney@chase.com,2126220004,Three and Four Chase Metrotech Center,Brooklyn,NY,11201,Commercial,Financial Services,ICAP,"3,225",,,07/03/2017,"1,324,645.37","2,233,792.07",,,,BROOKLYN,40.694059,-73.985741,302,33,3000000,3001420100,11,BK0202
FY2019,Chelsea Craft Brewing Co. LLC,Pat Greene,patg@chelseacraftbrewing.com,7184948850,463 E. 173rd Street,Bronx,NY,10457,Manufacturing,craft beer manufacturing,Tenant,10,,,10/28/2016,862.8,"6,217.8",,,,BRONX,40.841778,-73.901638,203,15,2124550,2029060093,165,BX0302
FY2019,Chelsea Plastics Corp/Plexi-Craft Quality Products,Allen Frechter,allen@plexi-craft.com,2129243244,30-02 48th Avenue,Long Island City,NY,11101,Manufacturing,Acrylic furniture,Relocator,15,,,03/31/2016,"10,898.72","24,280.72",,,,QUEENS,40.741426,-73.937833,402,26,4003546,4002870011,19902,QN0202
FY2019,"Child Center of NY, Inc.",Stephen Donowitz,stevedonowitz@childcenterny.com,7186517770,118-35 Queens Blvd.,Forest Hills,NY,11375,Commercial,,Tenant,123,,,02/27/2017,"4,250.46","8,140.92",,,,QUEENS,40.71513,-73.830545,406,29,4052811,4022700041,75701,QN0602
FY2019,"Christie''s Fine Art Storage Services, Inc",Tim Yule,tyule@christies.com,2126362479,62 Imlay Street,Brooklyn,NY,11231,Wholesale/Warehouse/Distribution,,ICAP,9,,,11/28/2012,"82,262.61","439,253.06",,,,BROOKLYN,40.682405,-74.008148,306,38,3008286,3005150050,5303,BK0601
FY2019,Christie''''''''''''''''s Inc.,Edward Dolman,jkuduk@christies.com,2126362602,32-35 48th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,Commercial Auction house and warehouse,Tenant,40,,,06/07/2011,"42,820.79","327,271.58",,,,QUEENS,40.740902,-73.933139,402,26,4003446,4002520001,19901,QN0202
FY2019,"Chromation, Inc.",Ioannis Kymissis,ioannis@chromationspec.com,3478500235,1361 Amsterdam Avenue,New York,NY,10027,Commercial,Technology enhancement device,Tenant,40,,,09/09/2014,"2,872.68","12,140.13",,,,MANHATTAN,40.814216,-73.95564,109,7,1081781,1019670040,21303,MN0902
FY2019,"CITARELLA OPERATING, LLC",JOSEPH GURRERA,tflanagan@citarella.com,2128740383,600 FOOD CENTER DRIVE,Bronx,NY,10474,Manufacturing,MFG. GOURMET FOOD,Relocator,175,,350,06/03/2005,70.53,"673,333.67",,,,BRONX,40.804503,-73.872138,202,17,2115237,2027810500,11702,BX0201
FY2019,"Citibank, N.A.",Keith Owen,keith.owen@citi.com,7182484939,ONE COURT SQUARE/ 25-01 JACKSON AVE,Queens,NY,11120,Commercial,ADMINIST. OFFICES,ICIP,699,,,10/06/2009,"66,076","1,270,560.36",,,,,,,,,,,,
FY2019,City Aquarium LLC,Michael kriak,Michael@cityaquarium.com,7183882000,44 Dobbin Street,Brooklyn,NY,11222,Manufacturing,Mfg. of Aquariums,Tenant,4,,,12/04/2009,"3,335.52","32,364.73",,,,BROOKLYN,40.723636,-73.953709,301,33,3065961,3026430045,569,BK0101
FY2019,City Baking LLC aka Bakery City LLC,Barry Blaine,citybaking@aol.com,7183928514,10-41 45th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,Commercial Baker,ICIP,19,,,07/08/2014,"7,028.31","32,314.91",,,,QUEENS,40.748069,-73.951216,402,26,4000427,4000510016,702,QN0201
FY2019,Classic Cooking LLC,Elliot Hess,David@classic-cooking.com,7184390200,165-35 145th Drive,Jamaica,NY,11434,Manufacturing,,ICIP,37,,,04/16/2009,"22,787.95","436,614.95",,,,QUEENS,40.662029,-73.775424,413,31,4285071,4132810029,306,QN1306
FY2019,"CLEARWATER FISH CO., INC.",JAMES DEVITO,ClearwaterFishCompany@newfultonfishmarket.com,7189437051,"800 FOOD CTR. DRIVE, UNITS 125, 127",Bronx,NY,10474,Wholesale/Warehouse/Distribution,WAREHOUSE AND DISTRIBUTOR,Tenant,6,2,6,06/02/2006,712.91,"25,293.15",,,,,,,,,,,,
FY2019,"Collins Building Services, Inc.",Arthur J. Viviani,Aviviani@cbs-collins.com,2128965144,24-01 44th Road,Long Island City,NY,11101,Commercial,Janitorial services firm,Tenant,"2,424",,,10/03/2008,"2,678.76","39,526.55",,,,QUEENS,40.748206,-73.943731,402,26,4005157,4004350001,1903,QN0201
FY2019,"Color Tex, Inc.",Rivky Weiss,colortex18@gmail.com,7188580505,347-365 Flushing Avenue,Brooklyn,NY,11205,Commercial,Dye house and textile finishing company,ICIP,36,,,05/02/2011,"-1,634.05","107,403.5",,,,BROOKLYN,40.698242,-73.961625,301,33,3000000,3022600035,537,BK0103
FY2019,COMFORT BEDDING,Mosses Kohn,mark@comfortbeddinginc.com,7184587662,13 CHRISTOPHER AVENUE,Brooklyn,NY,11212,Manufacturing,MFG. MATR. BX SPRINGS,ICIP,35,,,02/23/2015,"1,591.17","8,604.41",,,,BROOKLYN,40.673568,-73.906839,316,37,3083411,3036760005,908,BK1602
FY2019,COMFORT BEDDING,Mosses Kohn,mark@comfortbeddinginc.com,7184587662,13 CHRISTOPHER AVENUE,Brooklyn,NY,11212,Manufacturing,MFG. MATR. BX SPRINGS,IDA,38,20,76,04/21/2006,"1,350.51","70,429.4",,,,BROOKLYN,40.673568,-73.906839,316,37,3083411,3036760005,908,BK1602
FY2019,"Computer Services Group, Inc.",Boris Khutoretsky,"Computer Services Group, Inc.",2128190122,"37-24 24th Street, Suite 340",Long Island City,NY,11101,Manufacturing,Provides IT solutions to businesses,Relocator,20,,,09/01/2016,"1,378.98","2,615.73",,,,QUEENS,40.757018,-73.935833,401,26,4439111,4003660001,3302,QN0105
FY2019,"Concept Farm, Inc.",Griffin Stenger,angel@conceptfarm.com,2124639939,11-25 44th Road,Long Island City,NY,11101,Manufacturing,Advertsing service and video production,Relocator,18,,,03/08/2018,961.44,"4,857.17",,,,QUEENS,40.749237,-73.949061,402,26,4005223,4004460021,1903,QN0201
FY2019,Constitution Realty LLC (Ldmk),Joe Dorio,,2123442151,26 Broadway,New York,NY,10004,Landlord,,LMEP,"2,675",,,03/05/2009,"322,248.64","2,595,983.16",,,,MANHATTAN,40.70568,-74.013302,101,1,1000811,1000220013,9,MN0101
FY2019,CONTROL ELECTROPOLISHING CORP.,NANCY ZAPATA,nzapata@controlelectropolishing.com,7188586634,"109 WALWORTH STREET, PO BOX 050237",Brooklyn,NY,11205,Manufacturing,MANUFACTURER,ICIP,15,4,30,04/25/2007,"6,420.91","62,039.46",,,,BROOKLYN,40.695654,-73.954468,303,33,3048474,3017360050,1237,BK0301
FY2019,COOL WIND VENTILATION CORP.,David Sullivan,david@coolwind.biz,7183618787,83-12 72nd Drive,GLENDALE,NY,11385,Manufacturing,mfg and install sheet metal duct work for HVAC systems,IDA,120,,,11/17/2008,"13,889.97","198,616.51",,,,QUEENS,40.708643,-73.864953,405,32,4315194,4038100420,637,QN0503
FY2019,CORONET PARTS MANUFACTURING CO. INC,Jeffrey Rodolitz,jeff@coronetparts.com,7186490710,883-901 Elton St,Brooklyn,NY,11208,Manufacturing,"Brass fittings for te automotive, plumbing and refrigeration industries",IDA,78,,,10/17/2007,"14,290.72","289,962.9",,,,BROOKLYN,40.661508,-73.877722,305,42,3327447,3043830003,1116,BK0503
FY2019,COSMOS COMMUNICATIONS,Jack   Weiss,jweiss@cosmoscommunications.com,7184821800,11-05 44TH DRIVE,Queens,NY,11101,Manufacturing,MFG. (PRINTING),ICIP,65,,,02/06/2008,"22,096.2","453,192.11",,,,QUEENS,40.748483,-73.949285,402,26,4005233,4004477501,1903,QN0201
FY2019,Cotronics Corporation,Renee Bernstein,Renee@cotronics.com,7187885533,131 47th Street,Brooklyn,NY,11232,Manufacturing,,ICIP,18,,,05/15/2013,"3,405.84","22,175.81",,,,BROOKLYN,40.65163,-74.016574,307,38,3322614,3007350120,1803,BK0702
FY2019,"Crepini, LLC",Eric Shkolnik,paula@crepini.com,7183720505,5600 1st Avenue,Brooklyn,NY,11220,Manufacturing,mfg branded line of crepes,Relocator,5,,,10/13/2011,"20,038.22","146,148.17",,,,BROOKLYN,40.646985,-74.022721,307,38,3255737,3008190001,1803,BK0702
FY2019,CROWN FISH CO.,RICHARD JULICH,crownfishco.@aol.com,7189437056,"800 FOOD CENTER DRIVE, 86,88,90,92",Bronx,NY,10474,Wholesale/Warehouse/Distribution,DIST. VARIOUS SEAFOOD,Tenant,9,,9,03/07/2006,997.43,"52,694.28",,,,BRONX,40.805255,-73.876414,202,17,2088215,2027800073,9302,BX0201
FY2019,"Crystal Lake Trading, Inc.",Peter Fung,pfung@crystallaketrading.com,7187590088,140 58th Street Bldg. B Unit 4B,Brooklyn,NY,11220,Manufacturing,Mfg. of Dresses,Relocator,3,,,11/01/2010,"12,191.09","98,597.18",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2019,"Cyracom International, Inc.",Jeremy Woan,kleeper@cyracom.com,5202321673,41-61 Kissena Blvd.,Flushing,NY,11354,Other,,Relocator,76,,,07/01/2015,"9,809.84","34,963.22",,,,QUEENS,40.757519,-73.827755,407,20,4114293,4050450001,853,QN0707
FY2019,D.   C. CENTER CORP,Albert Lee,dccentercorp@gmail.com,7184725600,47-75 48th St.,Queens,NY,11377,Commercial,Commercial Dry Cleaning Plant,IDA,28,,,10/14/2008,"29,283.15","349,179.95",,,,QUEENS,40.739695,-73.917482,402,26,4052953,4022860053,23501,QN0202
